,model_num,dataset,model_name,vae_beta,factor_vae_gamma,dip_vae_lambda_d_factor,dip_vae_lambda_od,beta_tc_vae_beta,annealed_vae_c_max,model_random_seed,elbo,kl_loss,loss,reconstruction_loss,regularizer,beta_vae_train_accuracy,beta_vae_eval_accuracy,factor_vae_train_accuracy,factor_vae_eval_accuracy,dci_informativeness_train,dci_informativeness_test,dci_disentanglement,dci_completeness,mig_discrete_mig,sap_score,modularity_score,modularity_explicitness_score_train,modularity_explicitness_score_test
911,6311,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,11,-7552.3564453125,27.9453105927,7553.7954101562,7524.4116210938,29.37748909,0.6921,0.6782,0.5874,0.5866,0.6504800000000001,0.24472000000000002,0.057936130100000004,0.1258205222,0.0746084042,0.03296,0.7383877175,0.7117312299,0.694484599
912,6312,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,12,-7556.9868164062,28.1298274994,7558.4467773438,7528.8540039062,29.59633255,0.6461,0.6496000000000001,0.42250000000000004,0.4234,0.63122,0.22664,0.0514207956,0.0965933196,0.0304953588,0.03416,0.7904775147,0.7035795057,0.6872035053000001
913,6313,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,13,-7562.4965820312,27.8825016022,7563.9482421875,7534.623046875,29.3272171021,0.6209,0.6148,0.5279,0.5246000000000001,0.64446,0.22204000000000002,0.0352004787,0.0665549512,0.0415046735,0.0088,0.7572595295,0.705116964,0.6875825586000001
914,6314,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,14,-7555.1811523438,27.6092853546,7556.626953125,7527.572265625,29.0503749847,0.6219,0.61,0.5314,0.5318,0.6458400000000001,0.21936000000000003,0.0360770038,0.0568978251,0.0327429934,0.01088,0.7964345530000001,0.7104615187000001,0.6929136042
915,6315,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,15,-7552.0981445312,27.6876659393,7553.5375976562,7524.408203125,29.1245536804,0.6519,0.6342,0.5557,0.5584,0.65136,0.24448000000000003,0.0483720279,0.1087704676,0.0604817645,0.01712,0.7304490007000001,0.7051018486,0.6873043537
916,6316,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,16,-7556.0278320312,28.2576656342,7557.4604492188,7527.7734375,29.6881980896,0.682,0.679,0.5821000000000001,0.5778,0.6510600000000001,0.26316,0.0833862606,0.157221848,0.10252717930000001,0.027680000000000003,0.7206747819,0.70981436,0.6927191180000001
917,6317,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,17,-7560.7470703125,27.7902297974,7562.2084960938,7532.94921875,29.2564086914,0.5692,0.5548000000000001,0.4132,0.4156,0.6415000000000001,0.23148000000000002,0.0363531083,0.07680247330000001,0.0044863360000000005,0.00496,0.7414065561000001,0.7064160519,0.6899836518
918,6318,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,18,-7548.8569335938,27.9495487213,7550.2758789062,7520.9086914062,29.3661975861,0.6465000000000001,0.638,0.5427000000000001,0.5328,0.6439600000000001,0.23852,0.0466159336,0.1122421576,0.0359242782,0.021,0.7372847393,0.7033468163000001,0.6857917734
919,6319,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,19,-7557.0971679688,28.088054657,7558.5161132812,7529.0083007812,29.5063419342,0.6189,0.6224000000000001,0.49460000000000004,0.49560000000000004,0.6514,0.23116000000000003,0.0396987067,0.079954625,0.0153237817,0.01408,0.7038659128,0.7090694303,0.6916208208
920,6320,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,20,-7553.0844726562,28.0886707306,7554.51953125,7524.9912109375,29.5250453949,0.6465000000000001,0.6422,0.5631,0.556,0.6430600000000001,0.23520000000000002,0.0627743934,0.09715955770000001,0.07786772580000001,0.015320000000000002,0.7564272225,0.7042383286,0.6868028751
