,model_num,dataset,model_name,vae_beta,factor_vae_gamma,dip_vae_lambda_d_factor,dip_vae_lambda_od,beta_tc_vae_beta,beta_tc_vae_c_max,model_random_seed,elbo,kl_loss,loss,reconstruction_loss,regularizer,beta_vae_train_accuracy,beta_vae_eval_accuracy,factor_vae_train_accuracy,factor_vae_eval_accuracy,dci_informativeness_train,dci_informativeness_test,dci_disentanglement,dci_completeness,mig_discrete_mig,sap_score,modularity_score,modularity_explicitness_score_train,modularity_explicitness_score_test
366,366,'dsprites_full','factor_vae',,20.0,,,,,16,,18.4186477661,78.9464416504,50.5906524658,28.3557949066,0.8605,0.864,0.6856,0.6842,0.755,0.44712,0.2653366359,0.29467774820000003,0.1341645541,0.06984,0.7969536874,0.7822491219000001,0.7714624268
367,367,'dsprites_full','factor_vae',,20.0,,,,,17,,18.2750492096,79.7241973877,52.3692703247,27.3549194336,0.856,0.8624,0.7219,0.7216,0.7361000000000001,0.422,0.2333912873,0.26884959999999997,0.1753465259,0.054880000000000005,0.7986215535000001,0.7712024783,0.7591724363
368,368,'dsprites_full','factor_vae',,20.0,,,,,18,,18.9233951569,80.1174850464,51.5674171448,28.5500640869,0.8574,0.8596,0.7051000000000001,0.6998000000000001,0.7459600000000001,0.43968,0.2330889737,0.2608127846,0.1465938136,0.0724,0.8297032341,0.7647791731,0.7527769282
369,369,'dsprites_full','factor_vae',,20.0,,,,,19,,18.4805679321,79.2166061401,51.2043418884,28.0123462677,0.8071,0.8004,0.5829,0.5896,0.7419,0.40868000000000004,0.19649880150000001,0.2333768149,0.1276068193,0.06524,0.7647351898,0.7563916191000001,0.7458090222
370,370,'dsprites_full','factor_vae',,20.0,,,,,20,,18.4028053284,76.1639633179,51.9761390686,24.1877994537,0.859,0.8632000000000001,0.7387,0.7326,0.7446200000000001,0.42836,0.24138626770000002,0.2798316334,0.1698096256,0.07640000000000001,0.8660679556,0.7743906774,0.7630037024
371,371,'dsprites_full','factor_vae',,20.0,,,,,21,,18.7133750916,86.2244644165,54.090045929,32.1344337463,0.8151,0.8156,0.5487000000000001,0.5482,0.73906,0.40952000000000005,0.2072211149,0.2502666988,0.13609558530000002,0.07828,0.7937108810000001,0.750254747,0.7347938467
372,372,'dsprites_full','factor_vae',,20.0,,,,,22,,18.21717453,76.1541213989,49.7356452942,26.4184436798,0.8543000000000001,0.8508,0.6891,0.6868000000000001,0.7643800000000001,0.46292000000000005,0.2700697804,0.2876528943,0.1370174546,0.0678,0.7573861211,0.7819927959,0.7727158191
373,373,'dsprites_full','factor_vae',,20.0,,,,,23,,18.3672771454,79.9787826538,51.7591247559,28.219669342,0.8511000000000001,0.853,0.6791,0.6826,0.747,0.42452,0.2158398746,0.25313064020000003,0.12677682040000002,0.06548000000000001,0.8268751032,0.7611051071,0.7497839516
374,374,'dsprites_full','factor_vae',,20.0,,,,,24,,18.5431480408,80.1786880493,50.8381614685,29.3405170441,0.8618,0.8638,0.7325,0.735,0.7437600000000001,0.42128000000000004,0.2314988506,0.2472443175,0.1171400986,0.058440000000000006,0.7997202640000001,0.7756991573,0.7665706547000001
375,375,'dsprites_full','factor_vae',,20.0,,,,,25,,19.534538269,85.9363098145,53.1013717651,32.8349685669,0.8647,0.8568,0.7318,0.7312000000000001,0.7672,0.47688,0.294076169,0.3259145357,0.16646564020000001,0.06748000000000001,0.7859748118000001,0.7913962475,0.7790970059000001
376,376,'dsprites_full','factor_vae',,20.0,,,,,26,,18.5509166718,73.2469177246,48.7809333801,24.4660129547,0.8754000000000001,0.8706,0.8389000000000001,0.8398,0.7798400000000001,0.4758,0.3389300186,0.341622164,0.2154182242,0.07884000000000001,0.8548049668000001,0.7903034161,0.7816509145
377,377,'dsprites_full','factor_vae',,20.0,,,,,27,,18.6464538574,78.9480285645,51.5828170776,27.3651714325,0.8092,0.8210000000000001,0.7219,0.7174,0.7119200000000001,0.365,0.1264283142,0.1453862416,0.0828955649,0.032920000000000005,0.8184480983,0.7495271299,0.7379162365
378,378,'dsprites_full','factor_vae',,20.0,,,,,28,,18.2391033173,77.8407363892,51.2973060608,26.5434055328,0.8605,0.8574,0.7635000000000001,0.7622,0.7764000000000001,0.5032800000000001,0.3324659486,0.3567395772,0.1614034489,0.06024,0.8266066141,0.7928808447,0.7815669571
379,379,'dsprites_full','factor_vae',,20.0,,,,,29,,18.6624317169,81.7132263184,51.4404411316,30.2727203369,0.8548,0.8566,0.7363000000000001,0.7446,0.7537400000000001,0.44744000000000006,0.2618155461,0.2861328386,0.1428037997,0.0716,0.7495857315000001,0.7741926164,0.7631540066
